run,cores,variant,location,load,query,count,mean_ms,p50_ms,p90_ms,p95_ms,p99_ms
ResultsRun1,2,baseline,remote,high,LdbcQuery2,1,171.0,171,171,171,171
ResultsRun1,2,baseline,remote,high,LdbcQuery3,1,2931.0,2931,2931,2931,2931
ResultsRun1,2,baseline,remote,high,LdbcQuery4,1,112.0,112,112,112,112
ResultsRun1,2,baseline,remote,high,LdbcQuery5,1,1413.0,1413,1413,1413,1413
ResultsRun1,2,baseline,remote,high,LdbcQuery7,1,284.0,284,284,284,284
ResultsRun1,2,baseline,remote,high,LdbcQuery8,2,214.5,64,365,365,365
ResultsRun1,2,baseline,remote,high,LdbcShortQuery1PersonProfile,26,58.88461538461539,62,88,89,92
ResultsRun1,2,baseline,remote,high,LdbcShortQuery2PersonPosts,26,59.65384615384615,61,73,108,125
ResultsRun1,2,baseline,remote,high,LdbcShortQuery3PersonFriends,26,58.76923076923077,62,65,84,90
ResultsRun1,2,baseline,remote,high,LdbcShortQuery4MessageContent,24,55.166666666666664,62,64,64,91
ResultsRun1,2,baseline,remote,high,LdbcShortQuery5MessageCreator,24,54.708333333333336,58,69,77,88
ResultsRun1,2,baseline,remote,high,LdbcShortQuery6MessageForum,24,51.625,61,65,65,65
ResultsRun1,2,baseline,remote,high,LdbcShortQuery7MessageReplies,23,55.869565217391305,62,75,91,95
ResultsRun1,2,baseline,remote,high,LdbcUpdate2AddPostLike,5,63.0,63,79,79,79
ResultsRun1,2,baseline,remote,high,LdbcUpdate3AddCommentLike,4,52.75,47,61,61,61
ResultsRun1,2,baseline,remote,high,LdbcUpdate4AddForum,2,134.0,60,208,208,208
ResultsRun1,2,baseline,remote,high,LdbcUpdate5AddForumMembership,24,59.583333333333336,63,65,66,86
ResultsRun1,2,baseline,remote,high,LdbcUpdate6AddPost,22,66.77272727272727,60,65,101,247
ResultsRun1,2,baseline,remote,high,LdbcUpdate7AddComment,10,65.4,63,80,90,90
ResultsRun1,2,baseline,remote,high,LdbcUpdate8AddFriendship,1,81.0,81,81,81,81
ResultsRun1,2,sev,local,low,LdbcQuery1,25,45.2,45,95,97,134
ResultsRun1,2,sev,local,low,LdbcQuery10,22,300.3636363636364,276,441,450,460
ResultsRun1,2,sev,local,low,LdbcQuery11,41,27.975609756097562,25,45,48,54
ResultsRun1,2,sev,local,low,LdbcQuery12,15,295.0,272,404,404,486
ResultsRun1,2,sev,local,low,LdbcQuery13,35,4.457142857142857,4,6,7,11
ResultsRun1,2,sev,local,low,LdbcQuery14,13,427.38461538461536,388,852,852,1012
ResultsRun1,2,sev,local,low,LdbcQuery2,18,52.27777777777778,25,71,95,364
ResultsRun1,2,sev,local,low,LdbcQuery3,10,1610.3,1624,1686,1765,1765
ResultsRun1,2,sev,local,low,LdbcQuery4,19,23.57894736842105,18,41,44,60
ResultsRun1,2,sev,local,low,LdbcQuery5,11,1240.909090909091,1330,1572,1572,1849
ResultsRun1,2,sev,local,low,LdbcQuery6,5,1277.4,1164,1642,1642,1642
ResultsRun1,2,sev,local,low,LdbcQuery7,8,60.0,38,89,145,145
ResultsRun1,2,sev,local,low,LdbcQuery8,15,4.066666666666666,4,6,6,9
ResultsRun1,2,sev,local,low,LdbcQuery9,4,1938.25,1839,2137,2137,2137
ResultsRun1,2,sev,local,low,LdbcShortQuery1PersonProfile,284,1.908450704225352,2,3,4,8
ResultsRun1,2,sev,local,low,LdbcShortQuery2PersonPosts,284,4.545774647887324,3,8,12,24
ResultsRun1,2,sev,local,low,LdbcShortQuery3PersonFriends,284,3.6795774647887325,2,6,10,28
ResultsRun1,2,sev,local,low,LdbcShortQuery4MessageContent,285,2.1719298245614036,2,4,5,8
ResultsRun1,2,sev,local,low,LdbcShortQuery5MessageCreator,285,1.8631578947368421,1,3,4,10
ResultsRun1,2,sev,local,low,LdbcShortQuery6MessageForum,285,1.831578947368421,1,3,4,6
ResultsRun1,2,sev,local,low,LdbcShortQuery7MessageReplies,285,2.1052631578947367,2,3,4,7
ResultsRun1,2,sev,local,low,LdbcUpdate2AddPostLike,88,5.2272727272727275,5,7,8,10
ResultsRun1,2,sev,local,low,LdbcUpdate3AddCommentLike,121,4.8347107438016526,5,7,8,9
ResultsRun1,2,sev,local,low,LdbcUpdate4AddForum,7,7.428571428571429,6,9,14,14
ResultsRun1,2,sev,local,low,LdbcUpdate5AddForumMembership,297,4.946127946127946,4,6,7,12
ResultsRun1,2,sev,local,low,LdbcUpdate6AddPost,59,7.169491525423729,6,11,13,16
ResultsRun1,2,sev,local,low,LdbcUpdate7AddComment,94,6.76595744680851,6,9,11,15
ResultsRun1,2,sev,local,low,LdbcUpdate8AddFriendship,12,4.666666666666667,4,6,6,8
ResultsRun1,2,sev,local,medium,LdbcQuery1,25,62.56,60,111,149,185
ResultsRun1,2,sev,local,medium,LdbcQuery10,22,500.59090909090907,484,617,631,642
ResultsRun1,2,sev,local,medium,LdbcQuery11,41,54.80487804878049,48,81,94,190
ResultsRun1,2,sev,local,medium,LdbcQuery12,15,457.6,428,541,541,602
ResultsRun1,2,sev,local,medium,LdbcQuery13,35,4.914285714285715,4,8,9,16
ResultsRun1,2,sev,local,medium,LdbcQuery14,13,826.3076923076923,648,1519,1519,2278
ResultsRun1,2,sev,local,medium,LdbcQuery2,18,92.61111111111111,48,129,185,657
ResultsRun1,2,sev,local,medium,LdbcQuery3,10,2952.2,2950,3465,3571,3571
ResultsRun1,2,sev,local,medium,LdbcQuery4,19,31.63157894736842,29,43,52,54
ResultsRun1,2,sev,local,medium,LdbcQuery5,11,2221.181818181818,2516,2781,2781,3557
ResultsRun1,2,sev,local,medium,LdbcQuery6,5,2602.4,2461,3378,3378,3378
ResultsRun1,2,sev,local,medium,LdbcQuery7,8,78.25,53,115,208,208
ResultsRun1,2,sev,local,medium,LdbcQuery8,15,3.8,3,6,6,16
ResultsRun1,2,sev,local,medium,LdbcQuery9,4,3593.25,3261,4185,4185,4185
ResultsRun1,2,sev,local,medium,LdbcShortQuery1PersonProfile,290,2.7241379310344827,2,4,6,17
ResultsRun1,2,sev,local,medium,LdbcShortQuery2PersonPosts,290,6.679310344827586,4,12,18,42
ResultsRun1,2,sev,local,medium,LdbcShortQuery3PersonFriends,290,4.4655172413793105,3,8,13,22
ResultsRun1,2,sev,local,medium,LdbcShortQuery4MessageContent,288,2.451388888888889,2,4,6,12
ResultsRun1,2,sev,local,medium,LdbcShortQuery5MessageCreator,288,2.4722222222222223,2,4,5,19
ResultsRun1,2,sev,local,medium,LdbcShortQuery6MessageForum,288,2.4270833333333335,2,4,5,15
ResultsRun1,2,sev,local,medium,LdbcShortQuery7MessageReplies,288,2.701388888888889,2,5,7,15
ResultsRun1,2,sev,local,medium,LdbcUpdate2AddPostLike,88,9.193181818181818,8,14,18,24
ResultsRun1,2,sev,local,medium,LdbcUpdate3AddCommentLike,121,8.586776859504132,7,13,18,48
ResultsRun1,2,sev,local,medium,LdbcUpdate4AddForum,7,11.857142857142858,11,16,22,22
ResultsRun1,2,sev,local,medium,LdbcUpdate5AddForumMembership,297,8.737373737373737,7,12,17,33
ResultsRun1,2,sev,local,medium,LdbcUpdate6AddPost,59,9.796610169491526,9,16,19,23
ResultsRun1,2,sev,local,medium,LdbcUpdate7AddComment,94,11.638297872340425,11,16,18,25
ResultsRun1,2,sev,local,medium,LdbcUpdate8AddFriendship,12,8.916666666666666,7,14,14,20
ResultsRun1,2,sev,local,high,LdbcQuery1,25,73.72,67,135,169,246
ResultsRun1,2,sev,local,high,LdbcQuery10,22,477.22727272727275,446,608,633,869
ResultsRun1,2,sev,local,high,LdbcQuery11,41,48.02439024390244,43,63,100,146
ResultsRun1,2,sev,local,high,LdbcQuery12,15,450.4,419,523,523,910
ResultsRun1,2,sev,local,high,LdbcQuery13,35,5.114285714285714,5,9,10,12
ResultsRun1,2,sev,local,high,LdbcQuery14,13,807.6153846153846,671,1713,1713,1913
ResultsRun1,2,sev,local,high,LdbcQuery2,18,88.05555555555556,45,111,144,628
ResultsRun1,2,sev,local,high,LdbcQuery3,10,2747.6,2690,2991,3753,3753
ResultsRun1,2,sev,local,high,LdbcQuery4,19,29.210526315789473,30,43,52,59
